Sequence,Date
7-23-28-35-39-49,2020-07-06
29-34-33-36-43-45,2020-07-08
6-22-29-41-42-48,2020-07-11
2-31-40-41-42-47,2020-07-13
7-9-12-13-19-36,2020-07-15
10-15-28-32-33-47,2020-07-18
13-17-30-33-37-39,2020-07-20
16-20-27-30-35-39,2020-07-22
9-24-31-35-38-43,2020-07-25
5-9-11-19-23-29,2020-07-27
7-18-23-31-37-48,2020-07-29
7-8-20-24-45-47,2020-08-01
12-22-24-27-30-40,2020-08-03
7-14-20-30-31-39,2020-08-05
10-23-26-29-41-47,2020-08-08
7-12-16-33-42-49,2020-08-10
4-5-8-24-40-49,2020-08-12
6-17-31-32-35-37,2020-08-15
17-21-23-26-28-40,2020-08-17
8-9-26-32-39-47,2020-08-19
7-8-23-26-30-31,2020-08-22
4-19-23-29-36-48,2020-08-24
3-13-26-29-32-47,2020-08-26
7-8-18-20-35-39,2020-08-29
4-8-20-25-45-46,2020-08-31
9-11-20-26-35-45,2020-09-02
10-17-22-29-40-41,2020-09-05
2-14-15-28-30-39,2020-09-07
5-16-33-40-44-45,2020-09-09
1-13-17-31-39-43,2020-09-12
2-7-26-28-39-44,2020-09-14
1-5-15-19-38-40,2020-09-16
13-15-18-21-27-35,2020-09-19
12-18-29-31-41-47,2020-09-21
6-14-15-20-40-47,2020-09-23
1-15-19-21-23-38,2020-09-26
9-11-24-25-28-34,2020-09-28
9-10-30-32-34-48,2020-09-30
7-14-21-33-46-47,2020-10-03
7-16-25-37-39-43,2020-10-05
7-8-11-33-35-45,2020-10-07
15-20-26-31-43-46,2020-10-10
9-10-13-21-30-42,2020-10-12
14-16-25-35-43-45,2020-10-14
7-12-20-25-34-45,2020-10-17
4-5-12-13-34-40,2020-10-19
3-5-12-17-22-33,2020-10-21
13-22-32-39-40-42,2020-10-24
4-10-28-31-32-38,2020-10-26
3-5-16-18-23-33,2020-10-28
4-8-16-20-28-37,2020-10-31
6-7-15-30-32-40,2020-11-02
5-21-29-36-39-49,2020-11-04
3-18-23-26-34-43,2020-11-07
6-7-9-11-34-43,2020-11-09
5-21-31-35-44-45,2020-11-11
6-17-18-23-44-46,2020-11-14
6-16-18-27-40-47,2020-11-16
3-35-38-43-48-49,2020-11-18
6-8-11-14-25-37,2020-11-21
14-15-18-34-37-40,2020-11-23
11-18-25-35-46-49,2020-11-25
5-16-21-23-27-36,2020-11-28
15-23-26-28-42-48,2020-11-30
14-25-41-42-44-47,2020-12-02
8-13-15-17-37-41,2020-12-05
3-12-19-39-44-48,2020-12-07
4-6-7-27-28-47,2020-12-09
5-14-15-17-22-38,2020-12-12
16-31-41-42-48-49,2020-12-14
10-11-14-24-34-44,2020-12-16
1-6-20-35-42-46,2020-12-19
4-18-22-28-34-39,2020-12-21
2-8-11-12-15-34,2020-12-23
1-10-23-24-30-38,2020-12-26
7-13-23-35-43-45,2020-12-28
2-8-10-14-31-47,2020-12-30
,
,
4-7-8-13-22-37,2021-01-02
2-16-23-24-30-36,2021-01-04
2-12-20-43-46-48,2021-01-06
4-28-31-34-36-46,2021-01-09
3-8-27-42-45-46,2021-01-11
18-20-24-30-37-45,2021-01-13
6-11-12-22-41-43,2021-01-16
8-13-23-24-25-40,2021-01-18
4-10-16-31-37-40,2021-01-20
5-12-38-40-43-44,2021-01-23
4-9-20-33-40-41,2021-01-25
10-20-21-26-37-45,2021-01-27
14-18-32-36-37-47,2021-01-30
14-15-17-20-29-34,2021-02-01
1-2-12-14-17-43,2021-02-03
19-22-28-44-45-49,2021-02-06
3-5-6-35-36-43,2021-02-08
20-24-26-36-45-48,2021-02-10
3-6-10-18-22-43,2021-02-13
5-19-21-26-35-38,2021-02-15
3-20-28-29-35-45,2021-02-17
14-16-25-28-31-32,2021-02-20
14-21-31-37-38-47,2021-02-22
4-24-29-33-35-49,2021-02-24
5-19-31-35-46-49,2021-02-27
4-8-22-35-39-49,2021-03-01
3-20-28-32-36-38,2021-03-03
11-12-27-32-42-44,2021-03-06
2-10-17-29-42-48,2021-03-08
7-22-29-34-39-41,2021-03-10
2-6-18-22-37-44,2021-03-13
2-15-17-22-23-40,2021-03-15
4-27-29-43-46-48,2021-03-17
9-25-27-33-39-49,2021-03-20
3-19-33-37-42-43,2021-03-22
17-25-28-36-37-49,2021-03-24
5-11-18-33-46-48,2021-03-27
6-7-16-20-31-48,2021-03-29
11-15-29-38-39-43,2021-03-31
2-3-12-13-20-30,2021-04-03
3-10-11-12-34-46,2021-04-05
11-14-17-18-22-31,2021-04-07
1-22-27-30-31-44,2021-04-10
1-8-21-31-32-35,2021-04-12
7-10-16-25-47-48,2021-04-14
11-22-25-37-41-43,2021-04-17
5-11-14-28-33-34,2021-04-19
8-10-17-27-32-42,2021-04-21
3-20-32-35-37-42,2021-04-24
7-11-18-26-30-32,2021-04-26
3-5-17-33-35-49,2021-04-28
15-25-26-37-48-49,2021-05-01
10-28-33-38-41-42,2021-05-03
9-23-27-31-32-47,2021-05-05
1-8-19-31-46-49,2021-05-08
5-8-18-20-43-48,2021-05-10
10-21-22-30-31-37,2021-05-12
2-13-15-29-42-48,2021-05-15
2-27-28-32-40-49,2021-05-17
6-11-39-41-45-48,2021-05-19
3-22-33-35-36-37,2021-05-22
1-14-19-40-46-47,2021-05-24
5-10-11-17-28-47,2021-05-26
18-19-27-28-40-49,2021-05-29
4-10-20-23-44-46,2021-05-31
6-9-10-12-16-35,2021-06-02
9-37-38-39-42-49,2021-06-05
4-12-15-22-30-46,2021-06-07
16-27-31-38-41-48,2021-06-09
12-28-29-30-40-41,2021-06-12
12-14-17-18-23-28,2021-06-14
15-19-27-33-42-45,2021-06-16
5-17-21-24-39-40,2021-06-19
9-12-31-33-45-47,2021-06-21
13-16-30-32-48-49,2021-06-23
3-12-17-23-25-46,2021-06-26
4-5-7-18-19-35,2021-06-28
6-14-23-24-26-46,2021-06-30
1-7-22-31-46-48,2021-07-03
4-5-12-13-27-48,2021-07-05
5-11-22-35-39-49,2021-07-07
17-22-25-29-34-38,2021-07-10
2-8-17-22-36-37,2021-07-12
6-8-26-29-33-43,2021-07-14
2-6-11-20-26-39,2021-07-17
4-16-17-28-35-45,2021-07-19
6-7-8-12-40-42,2021-07-21
7-24-26-27-30-44,2021-07-24
7-14-16-22-23-29,2021-07-26
1-3-17-29-36-39,2021-07-28
6-13-31-41-45-48,2021-07-31
5-11-26-35-36-41,2021-08-02
5-11-16-23-41-46,2021-08-04
3-8-10-24-31-46,2021-08-07
4-27-29-32-40-45,2021-08-09
5-6-7-37-41-48,2021-08-11
5-30-40-44-46-47,2021-08-14
10-14-16-21-36-44,2021-08-16
6-7-9-21-25-27,2021-08-18
16-19-22-24-30-47,2021-08-21
7-10-27-29-41-48,2021-08-23
9-32-36-45-47-48,2021-08-25
1-10-12-13-30-40,2021-08-28
9-11-18-34-42-45,2021-08-30
4-12-24-28-30-42,2021-09-01
1-12-16-39-46-47,2021-09-04
4-7-18-24-27-45,2021-09-06
2-7-20-25-36-43,2021-09-08
3-19-29-30-41-49,2021-09-11
12-18-23-29-38-42,2021-09-13
2-9-18-21-35-37,2021-09-15
9-19-22-26-27-33,2021-09-18
2-11-26-39-45-47,2021-09-20
6-15-17-22-24-33,2021-09-22
10-12-15-17-24-33,2021-09-25
3-8-10-37-40-43,2021-09-27
3-17-20-21-36-41,2021-09-29
15-22-26-30-44-49,2021-10-02
6-15-19-24-26-45,2021-10-04
6-18-23-24-29-30,2021-10-06
12-14-23-34-39-45,2021-10-09
2-6-26-32-34-45,2021-10-11
20-29-31-36-39-45,2021-10-13
2-4-23-39-41-47,2021-10-16
9-11-23-24-45-49,2021-10-18
8-12-30-35-37-40,2021-10-20
3-4-12-14-34-46,2021-10-23
2-20-27-46-47-49,2021-10-25
11-24-27-32-44-45,2021-10-27
6-8-24-27-37-41,2021-10-30
7-11-19-20-21-43,2021-11-01
19-26-30-33-36-37,2021-11-03
10-25-28-31-39-45,2021-11-06
8-16-17-23-38-46,2021-11-08
10-11-21-29-33-46,2021-11-10
1-19-32-37-45-48,2021-11-13
7-10-23-39-41-43,2021-11-15
1-7-10-36-44-46,2021-11-17
21-25-27-33-36-46,2021-11-20
4-22-24-34-35-48,2021-11-22
13-20-24-26-34-36,2021-11-24
13-23-43-44-47-49,2021-11-27
4-6-17-24-32-33,2021-11-29
4-7-15-17-23-42,2021-12-01
8-16-20-31-38-45,2021-12-04
6-10-28-34-45-49,2021-12-06
21-23-35-41-43-49,2021-12-08
7-13-15-24-32-37,2021-12-11
9-13-27-29-42-43,2021-12-13
4-10-11-34-39-43,2021-12-15
6-14-24-27-36-47,2021-12-18
2-13-25-36-37-45,2021-12-20
11-12-19-20-34-43,2021-12-22
17-20-22-29-42-46,2021-12-25
6-7-17-35-36-45,2021-12-27
8-11-13-33-38-47,2021-12-29
,
,
4-14-22-35-45-47,2022-01-01
9-20-21-22-26-36,2022-01-03
9-12-13-18-20-24,2022-01-05
6-31-37-41-42-47,2022-01-08
2-4-15-27-35-37,2022-01-10
13-16-32-36-40-46,2022-01-12
9-30-34-43-45-47,2022-01-15
4-21-31-33-39-49,2022-01-17
8-9-26-32-35-48,2022-01-19
4-10-14-15-22-29,2022-01-22
4-15-19-26-37-45,2022-01-24
8-17-30-32-33-49,2022-01-26
2-9-20-38-39-42,2022-01-29
4-7-21-28-33-46,2022-01-31
23-28-35-37-38-40,2022-02-02
1-4-15-32-40-43,2022-02-05
13-35-38-39-41-48,2022-02-07
8-11-23-38-41-46,2022-02-09
10-22-23-31-42-49,2022-02-12
13-15-19-27-30-40,2022-02-14
15-16-18-20-32-37,2022-02-16
1-12-22-29-32-49,2022-02-19
3-13-32-36-40-43,2022-02-21
2-13-22-25-35-47,2022-02-23
1-10-16-20-23-36,2022-02-26
9-18-34-35-38-45,2022-02-28
6-8-10-25-28-48,2022-03-02
21-23-27-29-46-49,2022-03-05
4-5-27-31-37-44,2022-03-07
5-23-39-42-47-48,2022-03-09
6-24-32-34-44-45,2022-03-12
6-15-16-32-42-43,2022-03-14
2-14-43-44-45-46,2022-03-16
22-28-31-37-42-45,2022-03-19
11-26-34-35-40-46,2022-03-21
5-11-23-31-33-34,2022-03-23
3-5-16-30-43-46,2022-03-26
2-4-15-19-26-27,2022-03-28
5-12-13-26-28-35,2022-03-30
4-17-24-25-31-40,2022-04-02
5-8-10-16-22-39,2022-04-04
10-13-16-26-33-37,2022-04-06
3-11-20-21-22-34,2022-04-09
7-14-20-31-32-34,2022-04-11
1-2-4-34-42-44,2022-04-13
11-14-21-31-33-43,2022-04-16
1-2-16-20-43-46,2022-04-18
5-10-13-29-39-48,2022-04-20
2-7-18-34-36-38,2022-04-23
2-31-34-40-42-45,2022-04-25
1-17-28-32-41-48,2022-04-27
8-15-17-40-42-46,2022-04-30
6-10-23-24-32-42,2022-05-02
1-13-14-16-38-47,2022-05-04
4-11-12-17-23-49,2022-05-07
8-9-10-14-22-44,2022-05-09
8-16-29-31-35-48,2022-05-11
13-18-19-22-35-40,2022-05-14
2-19-20-22-41-49,2022-05-16
1-7-17-20-34-43,2022-05-18
10-11-16-34-39-49,2022-05-21
20-24-25-31-33-40,2022-05-23
10-18-22-31-40-49,2022-05-25
16-19-25-26-44-48,2022-05-28
7-19-29-31-37-49,2022-05-30
6-9-10-14-17-49,2022-06-01
5-10-18-24-28-33,2022-06-04
8-15-30-31-39-42,2022-06-06
5-7-9-14-31-34,2022-06-08
13-25-26-27-35-36,2022-06-11
2-6-16-23-31-34,2022-06-13
6-14-19-21-34-45,2022-06-15
12-20-33-34-43-46,2022-06-18
13-20-23-27-35-42,2022-06-20
7-13-15-43-48-49,2022-06-22
12-31-34-35-40-46,2022-06-25
7-12-34-35-37-48,2022-06-27
8-12-16-22-36-44,2022-06-29
9-12-15-30-35-39,2022-07-02
6-10-18-26-39-42,2022-07-04
7-18-29-31-40-43,2022-07-06
1-10-23-24-25-32,2022-07-09
3-30-35-36-40-41,2022-07-11
4-9-12-13-14-41,2022-07-13
1-14-19-32-38-49,2022-07-16
5-8-11-21-37-38,2022-07-18
4-6-13-19-35-49,2022-07-20
2-3-8-23-32-38,2022-07-23
5-16-18-39-32-36,2022-07-25
4-12-41-42-47-49,2022-07-27
8-10-22-40-42-45,2022-07-30
1-6-12-22-29-30,2022-08-01
4-14-18-33-44-46,2022-08-03
11-16-21-31-39-48,2022-08-06
24-32-35-38-39-47,2022-08-08
8-14-18-22-28-46,2022-08-10
3-6-35-38-42-48,2022-08-13
1-11-31-32-36-39,2022-08-15
3-5-14-29-31-39,2022-08-17
1-7-13-28-40-45,2022-08-20
13-17-20-24-28-42,2022-08-22
3-14-21-26-39-45,2022-08-24
2-9-17-21-22-31,2022-08-27
1-8-16-32-41-49,2022-08-29
6-11-20-26-34-39,2022-08-31
14-15-39-45-47-48,2022-09-03
1-7-15-26-27-46,2022-09-05
7-14-22-40-47-49,2022-09-07
12-22-33-36-37-45,2022-09-10
18-19-27-38-41-44,2022-09-12
1-2-3-4-13-37,2022-09-14
5-6-11-22-23-38,2022-09-17
11-21-28-33-36-39,2022-09-19
9-10-14-28-41-42,2022-09-21
2-12-20-24-32-45,2022-09-24
4-13-21-30-40-49,2022-09-26
14-24-26-29-31-32,2022-09-28
8-12-16-19-39-41,2022-10-01
1-4-26-34-43-49,2022-10-03
6-14-18-28-39-44,2022-10-05
1-2-36-42-44-45,2022-10-08
9-15-21-31-34-39,2022-10-10
2-14-25-38-45-46,2022-10-12
1-8-9-17-28-38,2022-10-15
12-19-25-29-36-37,2022-10-17
31-32-33-36-42-49,2022-10-19
2-11-13-21-24-46,2022-10-22
15-23-34-35-37-49,2022-10-24
10-20-42-44-47-49,2022-10-26
3-7-9-24-36-37,2022-10-29
14-21-26-31-35-49,2022-10-31
28-36-37-42-43-49,2022-11-02
1-3-5-25-30-41,2022-11-05
6-14-35-39-46-47,2022-11-07
11-14-18-22-27-32,2022-11-09
2-12-20-27-40-49,2022-11-12
17-22-24-32-37-43,2022-11-14
7-28-39-40-41-44,2022-11-16
2-5-10-35-45-48,2022-11-19
1-4-6-20-25-29,2022-11-21
6-7-8-18-46-49,2022-11-23
23-28-35-37-43-46,2022-11-26
20-34-39-41-42-44,2022-11-28
10-24-26-28-40-47,2022-11-30
6-7-10-12-36-38,2022-12-03
8-12-21-23-26-32,2022-12-05
5-8-9-14-16-32,2022-12-07
18-28-38-41-43-48,2022-12-10
2-8-16-39-41-49,2022-12-12
4-7-29-34-46-49,2022-12-14
10-21-23-27-40-44,2022-12-17
15-21-24-28-44-49,2022-12-19
1-6-27-28-42-48,2022-12-21
2-4-26-28-33-35,2022-12-24
5-16-19-21-28-47,2022-12-26
13-22-27-31-36-43,2022-12-28
3-6-19-25-43-48,2022-12-31
,
,
8-10-23-24-39-41,2023-01-02
4-12-17-25-40-49,2023-01-04
3-4-8-24-31-34,2023-01-07
20-26-31-34-38-43,2023-01-09
6-10-13-21-30-47,2023-01-11
11-14-35-37-47-49,2023-01-14
2-6-8-23-36-46,2023-01-16
2-13-15-18-29-40,2023-01-18
2-26-27-30-35-43,2023-01-21
8-17-18-21-46-47,2023-01-23
7-20-24-38-40-42,2023-01-25
8-29-30-36-39-46,2023-01-28
2-21-22-30-42-45,2023-01-30
2-5-15-29-43-49,2023-02-01
20-24-25-33-36-49,2023-02-04
11-13-19-20-44-46,2023-02-06
2-17-18-23-28-35,2023-02-08
2-21-27-30-34-49,2023-02-11
12-16-24-26-35-48,2023-02-13
8-31-34-35-38-39,2023-02-15
13-19-24-26-32-33,2023-02-18
20-27-29-31-45-49,2023-02-20
1-16-18-27-38-48,2023-02-22
6-19-28-43-44-46,2023-02-25
4-7-11-13-16-46,2023-02-27
4-13-36-40-43-44,2023-03-01
2-3-15-19-37-40,2023-03-04
1-3-14-26-37-48,2023-03-06
2-6-14-15-32-40,2023-03-08
8-9-22-30-39-43,2023-03-11
1-6-9-29-44-46,2023-03-13
2-11-12-22-38-45,2023-03-15
7-17-31-35-41-45,2023-03-18
5-17-29-31-42-47,2023-03-20
5-9-24-28-35-39,2023-03-22
2-11-17-34-41-45,2023-03-25
8-9-21-27-39-47,2023-03-27
3-12-23-26-35-42,2023-03-29
4-11-20-29-35-38,2023-04-01
11-16-20-25-40-48,2023-04-03
1-7-13-20-47-49,2023-04-05
24-26-27-36-37-42,2023-04-08
5-20-25-42-43-47,2023-04-10
10-12-36-39-40-45,2023-04-12
3-6-28-29-44-46,2023-04-15
3-7-9-12-39-45,2023-04-17
24-25-30-36-37-40,2023-04-19
2-9-15-22-24-37,2023-04-22
13-18-20-22-39-43,2023-04-24
6-7-13-25-41-44,2023-04-26
11-18-20-27-39-47,2023-04-29
5-8-21-27-38-41,2023-05-01
2-16-18-29-30-32,2023-05-03
2-3-10-28-33-41,2023-05-06
9-13-18-22-27-47,2023-05-08
15-25-32-42-47-48,2023-05-10
4-23-26-37-45-47,2023-05-13
5-8-19-29-36-37,2023-05-15
7-21-30-34-43-49,2023-05-17
14-15-23-24-26-28,2023-05-20
3-22-27-38-41-49,2023-05-22
10-11-15-46-47-49,2023-05-24
14-18-23-29-33-39,2023-05-27
12-13-16-29-32-42,2023-05-29
8-11-23-25-27-49,2023-05-31
1-14-22-30-32-36,2023-06-03
12-14-25-29-34-49,2023-06-05
5-17-24-40-45-46,2023-06-07
1-4-9-24-34-38,2023-06-10
16-17-35-37-39-43,2023-06-12
1-2-18-32-40-49,2023-06-14
11-16-25-31-44-45,2023-06-17
31-32-33-35-36-45,2023-06-19
8-10-18-21-39-46,2023-06-21
2-14-31-39-40-42,2023-06-24
8-11-14-15-19-42,2023-06-26
6-15-17-22-36-37,2023-06-28
11-22-36-38-39-45,2023-07-01
1-5-20-28-39-45,2023-07-03
8-15-32-40-42-47,2023-07-05
2-3-16-20-40-47,2023-07-08
1-5-16-35-40-45,2023-07-10
6-18-26-32-34-44,2023-07-12
5-8-12-28-29-38,2023-07-15
8-15-39-35-39-46,2023-07-17
15-23-27-38-44-46,2023-07-19
1-9-23-26-43-46,2023-07-22
3-5-6-18-47-49,2023-07-24
7-17-27-34-37-41,2023-07-26
6-16-33-36-37-43,2023-07-29
3-6-19-21-23-49,2023-07-31
21-25-33-35-45-46,2023-08-02
7-14-23-31-47-49,2023-08-05
2-9-14-17-29-47,2023-08-07
11-15-26-29-30-35,2023-08-09
4-8-16-32-37-43,2023-08-12
7-11-19-37-44-45,2023-08-14
3-5-11-19-38-45,2023-08-16
17-18-19-22-25-36,2023-08-19
7-11-23-24-25-36,2023-08-21
2-20-23-30-43-48,2023-08-23
9-10-23-30-40-46,2023-08-26
12-16-23-26-34-45,2023-08-28
12-18-21-26-31-42,2023-08-30
4-5-6-17-18-19,2023-09-02
12-16-17-33-42-44,2023-09-04
11-21-25-26-41-43,2023-09-06
14-17-20-39-40-43,2023-09-09
1-9-14-18-21-44,2023-09-11
1-9-10-16-22-24,2023-09-13
2-17-26-38-40-45,2023-09-16
6-22-27-35-37-46,2023-09-18
8-29-31-42-43-45,2023-09-20
7-8-12-13-24-48,2023-09-23
4-5-19-22-40-47,2023-09-25
1-11-16-17-19-48,2023-09-27
3-13-22-28-30-40,2023-09-30
2-7-11-15-27-40,2023-10-02
5-10-18-27-30-42,2023-10-04
14-21-27-29-41-48,2023-10-07
10-30-31-34-39-41,2023-10-09
6-10-15-19-20-48,2023-10-11
6-13-20-27-30-32,2023-10-14
11-18-19-28-32-40,2023-10-16
7-17-25-32-33-44,2023-10-18
3-6-25-27-39-43,2023-10-21
13-15-17-24-25-35,2023-10-23
1-6-8-18-28-39,2023-10-25
14-20-37-41-42-46,2023-10-28
8-34-40-44-45-46,2023-10-30
3-20-21-29-30-44,2023-11-01
1-10-19-34-36-40,2023-11-04
10-19-31-41-42-49,2023-11-06
3-16-26-31-34-41,2023-11-08
15-24-29-32-35-42,2023-11-11
6-9-10-17-45-48,2023-11-13
2-6-10-22-33-41,2023-11-15
4-20-24-36-39-45,2023-11-18
5-16-28-30-34-38,2023-11-20
11-18-28-30-37-45,2023-11-22
2-14-29-31-35-49,2023-11-25
13-15-22-27-43-46,2023-11-27
1-6-25-41-43-47,2023-11-29
5-13-14-20-23-39,2023-12-02
17-38-42-43-46-49,2023-12-04
6-18-22-33-36-47,2023-12-06
3-14-16-19-21-33,2023-12-09
3-4-21-28-37-40,2023-12-11
7-16-39-44-47-49,2023-12-13
23-24-27-39-40-42,2023-12-16
13-16-18-29-36-38,2023-12-18
2-5-10-11-34-39,2023-12-20
12-14-19-32-42-45,2023-12-23
16-27-28-29-35-36,2023-12-25
20-28-33-46-47-48,2023-12-27
2-4-23-31-43-45,2023-12-30
,
,
3-10-12-37-39-41,2024-01-01
11-18-19-31-37-49,2024-01-03
1-3-15-32-39-49,2024-01-06
9-14-23-29-32-46,2024-01-08
1-4-12-15-20-37,2024-01-10
9-11-18-20-24-26,2024-01-13
8-12-16-20-43-45,2024-01-15
9-10-11-32-41-42,2024-01-17
1-5-27-31-42-46,2024-01-20
10-22-32-36-40-45,2024-01-22
3-10-15-25-35-40,2024-01-24
9-10-16-21-23-32,2024-01-27
1-3-33-39-41-43,2024-01-29
6-22-26-30-34-42,2024-01-31
17-21-23-30-32-43,2024-02-03
16-18-20-22-23-37,2024-02-05
3-23-30-35-37-38,2024-02-07
3-7-12-24-34-38,2024-02-10
17-18-20-23-25-29,2024-02-12
12-13-16-31-37-45,2024-02-14
15-16-28-30-48-49,2024-02-17
8-10-18-20-25-45,2024-02-19
7-23-28-39-43-48,2024-02-21
14-15-26-33-36-39,2024-02-24
1-18-25-32-35-42,2024-02-26
3-4-13-30-33-43,2024-02-28
4-6-16-31-44-48,2024-03-02
10-14-15-23-33-48,2024-03-04
4-6-17-25-34-47,2024-03-06
8-20-31-37-39-45,2024-03-09
1-36-38-41-42-46,2024-03-11
3-19-20-22-31-37,2024-03-13
9-10-27-37-45-48,2024-03-16
2-15-23-29-31-34,2024-03-18
6-23-29-35-42-44,2024-03-20
3-4-7-27-35-46,2024-03-23
19-22-25-39-41-43,2024-03-25
8-11-16-28-36-38,2024-03-27
3-5-7-11-38-49,2024-03-30
2-14-16-19-23-41,2024-04-01
3-11-31-33-35-45,2024-04-03
26-29-33-35-46-49,2024-04-06
7-20-21-25-39-49,2024-04-08
6-22-25-36-38-47,2024-04-10
10-18-31-34-38-42,2024-04-13
1-9-14-16-18-42,2024-04-15
1-10-12-19-22-36,2024-04-17
6-10-23-24-35-41,2024-04-20
5-9-11-17-21-33,2024-04-22
16-17-18-19-30-48,2024-04-24
16-33-36-37-39-47,2024-04-27
2-13-23-29-37-39,2024-04-29
8-14-33-41-42-48,2024-05-01
5-10-22-45-47-48,2024-05-04
6-9-15-16-27-35,2024-05-06
12-28-34-36-39-49,2024-05-08
5-6-23-29-36-47,2024-05-11
10-12-18-40-41-45,2024-05-13
23-24-31-38-42-49,2024-05-15
1-5-13-14-26-35,2024-05-18
1-9-11-16-35-40,2024-05-20
2-16-23-33-34-38,2024-05-22
1-14-16-21-33-34,2024-05-25
2-3-18-22-33-49,2024-05-27
7-15-21-23-36-44,2024-05-29
3-12-19-21-34-44,2024-06-01
1-16-17-23-33-34,2024-06-03
20-35-39-42-44-47,2024-06-05
3-16-32-36-39-43,2024-06-08
1-9-13-15-20-28,2024-06-10
16-24-28-33-37-39,2024-06-12
2-7-8-10-23-26,2024-06-15
9-13-16-40-47-48,2024-06-17
9-14-17-20-38-39,2024-06-19
11-18-26-33-38-46,2024-06-22
5-12-19-30-32-48,2024-06-24
3-6-8-13-30-40,2024-06-26
1-13-14-31-45-49,2024-06-29
15-16-27-39-40-45,2024-07-01
15-21-31-35-43-49,2024-07-03
3-4-24-30-33-34,2024-07-06
11-15-26-42-45-49,2024-07-08
9-21-27-36-45-46,2024-07-10
3-5-26-27-41-43,2024-07-13
8-24-31-33-42-44,2024-07-15
15-27-30-37-38-42,2024-07-17
8-27-33-34-41-42,2024-07-20
4-6-18-34-41-45,2024-07-22
5-9-14-27-31-38,2024-07-24
3-7-16-19-28-34,2024-07-27
1-4-6-7-32-33,2024-07-29
7-31-32-33-38-43,2024-07-31
6-11-12-28-40-43,2024-08-03
8-12-22-24-43-48,2024-08-05
1-8-16-21-36-46,2024-08-07
5-18-21-37-38-47,2024-08-10
4-25-34-33-36-45,2024-08-12
7-13-17-21-39-49,2024-08-14
6-9-14-27-29-48,2024-08-17
5-18-25-27-34-35,2024-08-19
6-7-15-17-19-30,2024-08-21
3-5-8-10-30-41,2024-08-24
6-7-28-37-43-44,2024-08-26
13-20-24-25-37-38,2024-08-28
16-21-28-31-40-45,2024-08-31
9-31-36-41-47-48,2024-09-02
3-11-25-27-36-43,2024-09-04
2-5-6-24-32-36,2024-09-07
5-25-34-37-47-49,2024-09-09
